,  user_id,total play,Artist,genre,track
0,BF6EA5AF,92.85138808302445,Marina Rei,pop,Musica
1,FB1E568E,282.981,Stive Morgan,ambient,Love Planet
2,FB1E568E,282.981,Stive Morgan,ambient,Love Planet
3,EF15C7BA,8.966000000000001,,dance,Loving Every Minute
4,82F52E69,193.77632653061227,Rixton,pop,Me And My Broken Heart
5,4166D680,3.007,Henry Hall & His Gleneagles Hotel Band,jazz,Home
6,F4F5677,0.1,,classicmetal,
7,386FE1ED,211.88,,electronic,Riviera
8,A5E0D927,3.161,Andrew Paul Woodworth,pop,The Name of This Next Song Is Called
9,E9E8A0CA,274.39,Pillar Point,indie,Dove
10,D3DD8D00,8.836,Steve Campbell,jazz,Morning Dew
11,596A4517,0.0,David Civera,pop,Bye Bye
12,2E50EDF9,245.04,Lumipa Beats,hiphop,Cludo
13,79D2876C,2.0,Henning Wehland,pop,Räuber und Gendarm
14,5A3095E,0.0,,,
15,96DA13A1,0.0,Пётр Каледин,spoken,Пойти и не вернуться. Глава 1
16,4023830D,46.885,ChinKong,dance,Live Life
17,AEAEF451,15.0,Albatraoz,pop,General Zod
18,285648EF,0.1,Pugs Atomz,dance,No Love
19,34811AC9,7.0,Zak Moore,dance,Feel Good
20,892E9835,219.190863,Kendra Springer,new,Sonora
21,46EB28CD,254.862,Nathalie Cardone,latin,Hasta Siempre
22,919EFA26,272.039167,Snowday,dance,Patterns
23,A76F54E1,72.38968,Swords,indie,I Didn't Understand
24,94E73621,8.109446121281469,Montezuma's Revenge,extrememetal,My God Is a Bad Cop
25,13C442BF,217.0,,dance,Lightspeed
26,C4AF055B,0.0,,,
27,A6D6DBE7,208.822833,Музыка для изучения,instrumental,Инструментальная музыка
28,9C97ECE2,214.256327,A-Life,dance,Don't Hurt Me
29,DD08E7D1,27.164889,Peter Holzmann,classical,The Seasons Op. 37A  (August  The Harvest): VIII. Allegro vivace
30,22642B7C,28.873,Heathers,alternative,Forget Me Knots
31,90004D45,3.253,IRISHA,dance,You Lose
32,8DA2ADAC,161.0,Tigerlily,dance,KICK BOOM
33,65608E7C,0.1,Orinoco Haven,pop,Don't Dream It's Over
34,A7BA3C55,0.0,,latin,La Tortura
35,D8B3971,134.112625,,rock,It's So Easy!
36,C087E463,9.2,Yngnfrsh,hiphop,Future Baby Mama
37,CADC0B1A,49.0,Sen-dla & Lotus,german,Nochmal Von Vorn
38,A6152E0B,254.64,Merwan Rim,french,Sofia
39,29BBA33D,3.6634528145833367,Watchout! Theres Ghosts,rock,Never You
40,2FBD8201,0.1,,,
41,2F4F0630,0.1,The Jeremy Spencer Band,pop,Cool Breeze
42,"FD36A727,1.4645890096367715,The Rubix Cube's,soundtrack,""Girls Just Want to Have Fun (From """"Bioshock Infinite"""")""",,,,
43,4D8D4370,248.0,Luca Turilli's Rhapsody,metal,Il Cigno Nero
44,38C55DA7,63.291889596199496,Мария  Матвеева,electronic,Принцесса Укок
45,4AD7F9E2,0.1,Lou Reed,rock,Ride Into the Sun
46,F1014BD5,202.13551,Emanuel Borok Cullan Bryant,classical,Love's Sorrow
47,B39466EE,0.1,,,
48,EE908C06,84.51917633020831,Echoes The Fall,pop,Eye Of The Tiger
49,C484328A,6.0,Psycho 44,rock,All My Demons Have Distortion
50,1D1186AA,378.644898,Чёрный Кузнец,rock,Дубль один
51,58D5A9C7,0.872,,dance,Born to Party
52,CC23B61,79.389,Ming,dubstep,Claim Earth
53,D9111D79,108.199175,Zcr,electronic,Разбегается на куски
54,C4C63D22,163.631,Limousine,alternative,A Drive
55,D52D00EA,8.443,Дуэт «Алмас»,pop,Люби меня люби
56,61AAFD2A,30.012834,Ricardo Piedra,house,Shooting Stars
57,1602CC14,235.07591800000003,Лінія Маннергейма,electronic,Навчи
58,F2EF24F8,177.29,Hellogoodbye,rock,Finding Something To Do
59,A40236D7,43.0,The Contemporary Noise Sextet,pop,Bitches Tune
60,6C936B97,270.0,The Rock Kid Heroes,rock,Bawitdaba (Made Famous by Kid Rock)
61,220A6FF8,136.643,Meditation Spa Society,new,From the End of Light
62,616A5F7D,28.42437307986112,Red Nose Rudolph,miscellaneous,Rudolph the Red Nose Reindeer
63,BBFBFE04,1.6869999999999998,Sweet Dreams Project (Dj Sergey Zevs and Kristina Dolce),dance,Me Is Not Pain
64,14313BCE,3.773,Matt Sadler,spoken,The Biker Bar
65,8808CC9B,28.0,Loon,rap,Do What You Like (Featuring Trina)
66,89F8A4B6,7.67,Indecent Noise,,Neurofunk
67,97735D6D,30.304,Domo Wilson,rock,I Wanna Be Me
68,52626181,0.0,Blex,world,Promesa de Amor
69,8431D955,225.0,Cypress Spring,country,Bootleg Style
70,EA665694,0.0,Кооперативыништяк,punk,Солнце похожее на тебя
71,8AA53E75,341.838367,Lionrock,dance,Packet Of Peace
72,1E20AB1B,5.5464569999999975,Shirley Holmes,alternative,1 + 1 + 1
73,61B6E597,94.509,KHARO,rap,Wrap Em
74,C9AC9D32,5.232,Koufequin,latin,Vamos a la Música
75,7B171AAB,0.0,PUNXXX,rusrap,Не по пути
76,DF8619AE,19.0,NeuRuTics,alternative,Северный олень
77,9AE82E5C,1.014,Ritmo Natural,jazz,Cumbia Cha Cha
78,20B8C4FB,211.565714,Kake Randelin,pop,Rakkautta ja rahaa
79,C22BEA45,191.053,Serious Black,extrememetal,I Seek No Other Life
80,BF32936D,3.93843,Ana Cañas,rnb,Eu Dou
81,FA279DD2,1.523753,Jennifer Warnes,pop,Up Where We Belong
82,714A9114,2.3466949999999938,Delroy Edwards,electronic,Killer Charlie
83,A76BB012,25.283,Otherland,dance,Wiggle - Jason Derulo
84,5B68BDDC,216.82,Maurice Moore,rnb,Take Time
85,F6939D17,187.0,Aaliyah Palmen,pop,Cold (Reprise Maroon 5 Future)
86,AC0AF747,0.1,Dadafon,pop,Slow Day
87,"81817E47,5.0,Blinding Lights,soundtrack,""Zombie (From """"Pitch Perfect 3"""")""",,,,
88,C527ADCF,8.566,Stephen Provost,electronic,Station One
89,CCAF9FD9,3.4726160000000004,,classical,Kaddish
90,BB5B3AA4,214.413061,Saltimbankya,metal,Gipsy Queen
91,BEA65D35,195.369796,Susanna Hoffs,rock,Eternal Flame
92,5D9AAD37,1.019745,Bomba Titinka,,Mambo Italiano
93,926DE999,0.0,Sds,electronic,Trinity
94,A2CC841A,3.204336721228475,Walter Kemp3oh!,jazz,Intuit
95,4B1EEB5,224.002,Trst.,electronic,Throw Yo Body
96,7F38A6F8,50.04,D. Rogers,pop,When It’s Done It’s Done
97,510D9BEE,213.0047541533333,Tapani Kansa,pop,Anna Mun Jäädä Sun Luo
98,A95CC18E,31.696,Sofi Lapina,pop,Gravity
99,9224DF40,134.974,Nino Nardini,world,La joie d'aimer
100,1AD2023F,102.98,Витя CLassic x Kaip,hiphop,Целлофанка
101,11B83119,48.0,Ameritz - Tribtues,pop,All I Want
102,2B3F806F,27.000272,Francis Lay,world,Un homme et une femme
103,14B73B59,31.32330066354167,Christian,pop,Se te ne vai
104,60F5B674,0.0,Openfieldz,rock,Spanish Lullaby
105,124CACCF,1.897,Acoustic Café,new,Je Te Veux
106,A9537061,146.9126530612245,Circle of Song- Kate Marks and Friends,world,Shiva Dance
107,D51B3C0,277.0,Ils,beats,Feed The Addiction
108,BD8A7461,382.484875,Kevin Over,dance,Djengis
109,E972F48E,5.281000000000001,We Are Action,punk,At Least We're Still Alive
110,1E393052,11.077,TaRuta,ukrrock,ШевченкА
111,9C533CB1,248.450612,Gregg Kofi Brown,pop,Lullaby to an Anxious Child
112,748BE5A3,0.1,Ayla,pop,Sessiz Gemi
113,DE999382,2.0,Pranayama,inspiritual,Musica yoga
114,E3B367E9,2.0,110% Hits,pop,110% Intro
115,2D2FD178,0.0,The Kovenant,metal,Stillborn universe
116,DC81528C,144.83100000000002,Summer Love,rock,Бейба
117,767942DD,73.0,ZOLOTO,ruspop,В текиле
118,2A40C1C9,0.1,O.S.T.R.,hiphop,Prędkość
119,9F494619,7.442,Nadine Bryant,country,Everybody's Looking For Something
120,D0DF5F8A,160.44,Skaльпель,alternative,Телефон 02
121,F78DECE1,450.03755,Ivan Spell,electronic,Sunday 7AM
122,66177A34,0.1,OB,pop,Butterflies
123,7D4CDE9F,304.0,Martin Stock,ambient,Song for Marilyn
124,8726FFF5,238.628548,Катя Разумовская,ruspop,Кареглазый
125,1451927,162.075,Sin Ensayo,pop,Toda la Noche
126,C31591B3,2.135351,Christy Baron,jazz,The Shadow of Your Smile
127,5F9A0A4C,217.70449,Любовные истории,ruspop,Возвращайся
128,B0174CAE,0.1,,caucasian,Дзорис
129,F5C7ACF3,0.0,,,
130,EE53730E,49.0,Агенты Кремля,rusrock,Доллары-рубли
131,6556EF3E,0.0,Gotham City,rock,Swords and Chains
