основание_id,основание,класс_id,класс
1,По степени автономности,1.1,Автономные системы
1,По степени автономности,1.2,Встроенные системы
1,По степени автономности,1.3,Гибридные системы
2,По степени автоматизации,2.1,Автоматизированные системы
2,По степени автоматизации,2.2,Автоматические системы
3,По архитектурному принципу,3.1,Централизованные системы
3,По архитектурному принципу,3.2,Распределенные системы
4,По видам деятельности,4.1,Государственное управление
4,По видам деятельности,4.2,Безопасность
4,По видам деятельности,4.3,Общеотраслевое регулирование
4,По видам деятельности,4.4,Промышленность
4,По видам деятельности,4.5,Здравоохранение
4,По видам деятельности,4.6,Торговля
4,По видам деятельности,4.7,Финансы и банки
4,По видам деятельности,4.8,Транспорт и логистика
4,По видам деятельности,4.9,Сельское хозяйство
4,По видам деятельности,4.10,Умный город
4,По видам деятельности,4.11,Экология
4,По видам деятельности,4.12,Образование и наука
4,По видам деятельности,4.13,Нефть и газ
4,По видам деятельности,4.14,Прочее
5,По функциям контура управления,5.1,Системы с обратной связью
5,По функциям контура управления,5.2,Системы реального времени
5,По функциям контура управления,5.3,Адаптивные системы
5,По функциям контура управления,5.4,Системы формирования цели (системы целеполагания)
5,По функциям контура управления,5.5,Системы формирования контура управления и обучения
5,По функциям контура управления,5.6,Системы обработки измерений
5,По функциям контура управления,5.7,Системы идентификации и диагностики
5,По функциям контура управления,5.8,Системы когнитивного моделирования
5,По функциям контура управления,5.9,Системы логического вывода
5,По функциям контура управления,5.10,Системы принятия (поддержки) решений
5,По функциям контура управления,5.11,Экспертно-аналитические системы
5,По функциям контура управления,5.12,Системы оценки достижения цели
5,По функциям контура управления,5.13,Ситуационные центры
5,По функциям контура управления,5.14,Системы прогнозирования
5,По функциям контура управления,5.15,Прочее
6,По специализации систем,6.1,Экспертные системы (управление знаниями)
6,По специализации систем,6.2,Игровые системы
6,По специализации систем,6.3,Системы естественного языка
6,По специализации систем,6.4,Системы компьютерного зрения
6,По специализации систем,6.5,Промышленные роботы
6,По специализации систем,6.6,Беспилотные аппараты
6,По специализации систем,6.7,Прочее
7,По комплексности и сложности систем,7.1,Многоагентные системы
7,По комплексности и сложности систем,7.2,Системы «Большие данные»
7,По комплексности и сложности систем,7.3,Промышленный интернет вещей
7,По комплексности и сложности систем,7.4,Киберфизические системы
7,По комплексности и сложности систем,7.5,Системы жизненного цикла
7,По комплексности и сложности систем,7.6,Системы сетевой экспертизы
7,По комплексности и сложности систем,7.7,Распределенные системы управления
7,По комплексности и сложности систем,7.8,Система распределенных ситуационных центров
7,По комплексности и сложности систем,7.9,Прочее
8,По методам обработки информации,8.1,Нейросети
8,По методам обработки информации,8.2,Обучение на примере
8,По методам обработки информации,8.3,Эволюционные и генетические алгоритмы
8,По методам обработки информации,8.4,Муравьиные алгоритмы
8,По методам обработки информации,8.5,Иммунные вычисления
8,По методам обработки информации,8.6,Глубокое обучение
8,По методам обработки информации,8.7,Роевые вычисления
8,По методам обработки информации,8.8,Метод Байеса
8,По методам обработки информации,8.9,Уменьшение размерности
8,По методам обработки информации,8.10,Природные вычисления
8,По методам обработки информации,8.11,Мягкие вычисления
8,По методам обработки информации,8.12,Кластеризация
8,По методам обработки информации,8.13,Дерево решений
8,По методам обработки информации,8.14,Регуляризация
8,По методам обработки информации,8.15,Аналоговая обработка данных
8,По методам обработки информации,8.16,Обработка фурье-образов
8,По методам обработки информации,8.17,Регрессия
8,По методам обработки информации,8.18,Решение обратных задач
8,По методам обработки информации,8.19,Система правил
8,По методам обработки информации,8.20,Прочее
9,"По управлению знаниями, моделям и методам обучения",9.1,Процедурные
9,"По управлению знаниями, моделям и методам обучения",9.2,Декларативные
9,"По управлению знаниями, моделям и методам обучения",9.3,Онтологические
9,"По управлению знаниями, моделям и методам обучения",9.4,Семантические
9,"По управлению знаниями, моделям и методам обучения",9.5,Продукционные
9,"По управлению знаниями, моделям и методам обучения",9.6,Фреймовые
9,"По управлению знаниями, моделям и методам обучения",9.7,Нейросетевая
9,"По управлению знаниями, моделям и методам обучения",9.8,Генетическая
9,"По управлению знаниями, моделям и методам обучения",9.9,Логическая
9,"По управлению знаниями, моделям и методам обучения",9.10,Статистическая
9,"По управлению знаниями, моделям и методам обучения",9.11,Нечеткие знания
9,"По управлению знаниями, моделям и методам обучения",9.12,Классификации
9,"По управлению знаниями, моделям и методам обучения",9.13,"Многомерное представление (3D, 4D)"
9,"По управлению знаниями, моделям и методам обучения",9.14,Функциональные
9,"По управлению знаниями, моделям и методам обучения",9.15,Технологические
9,"По управлению знаниями, моделям и методам обучения",9.16,Методологические
9,"По управлению знаниями, моделям и методам обучения",9.17,Комбинированное обучение
9,"По управлению знаниями, моделям и методам обучения",9.18,Непрерывное обучение
9,"По управлению знаниями, моделям и методам обучения",9.19,Единовременное обучение
9,"По управлению знаниями, моделям и методам обучения",9.20,Прочее
10,По методам достижения интеграции и интероперабельности,10.1,Системы с интеграцией на базе онтологий
10,По методам достижения интеграции и интероперабельности,10.2,Системы на базе профилирования
10,По методам достижения интеграции и интероперабельности,10.3,"Системы, использующие классификаторы"
10,По методам достижения интеграции и интероперабельности,10.4,Прочее
11,По опасности последствий,11.1,Социальная
11,По опасности последствий,11.2,Политическая
11,По опасности последствий,11.3,Экономическая
11,По опасности последствий,11.4,Технологическая
11,По опасности последствий,11.5,Техногенная
11,По опасности последствий,11.6,Экологическая
11,По опасности последствий,11.7,Безопасность государства
12,По конфиденциальности,12.0,Уровень 0 — открытая информация
12,По конфиденциальности,12.1,Уровень 1 — внутренняя информация
12,По конфиденциальности,12.2,Уровень 2 — конфиденциальная информация
12,По конфиденциальности,12.3,Уровень 3 — секретная информация
